,Patient ID,asra_safe,Scenario Data
96,DS,1,"A 23-year-old man presents with multiple rib fractures. The team caring for the patient is requesting epidural analgesia for pain control in the setting of multiple rib fractures. His medications include acetaminophen, gabapentin, oxycodone, and aspirin. The last dose of aspirin was 1 hour prior to the planned procedure."
97,DT,1,"A 23-year-old man presents with multiple rib fractures. The team caring for the patient is requesting epidural analgesia for pain control in the setting of multiple rib fractures. His medications include acetaminophen, gabapentin, oxycodone, and aspirin. The last dose of aspirin was 24 hours prior to the planned procedure."
98,DU,0,"A 23-year-old man presents with multiple rib fractures. The team caring for the patient is requesting epidural analgesia for pain control in the setting of multiple rib fractures. His medications include acetaminophen, gabapentin, oxycodone, and dabigatran. The last dose of dabigatran was 48 hours prior to the planned procedure."
99,DV,1,"A 23-year-old man presents with multiple rib fractures. The team caring for the patient is requesting epidural analgesia for pain control in the setting of multiple rib fractures. His medications include acetaminophen, gabapentin, oxycodone, and dabigatran. The last dose of dabigatran was 120 hours prior to the planned procedure."
100,DW,0,"A 23-year-old man presents with multiple rib fractures. The team caring for the patient is requesting epidural analgesia for pain control in the setting of multiple rib fractures. His medications include acetaminophen, gabapentin, oxycodone, and rivaroxaban. The last dose of rivaroxaban was 48 hours prior to the planned procedure."
101,DX,1,"A 23-year-old man presents with multiple rib fractures. The team caring for the patient is requesting epidural analgesia for pain control in the setting of multiple rib fractures. His medications include acetaminophen, gabapentin, oxycodone, and rivaroxaban. The last dose of rivaroxaban was 84 hours prior to the planned procedure."
102,DY,0,"A 23-year-old man presents with multiple rib fractures. The team caring for the patient is requesting epidural analgesia for pain control in the setting of multiple rib fractures. His medications include acetaminophen, gabapentin, oxycodone, and clopidogrel. The last dose of clopidogrel was 4 days prior to the planned procedure."
103,DZ,1,"A 23-year-old man presents with multiple rib fractures. The team caring for the patient is requesting epidural analgesia for pain control in the setting of multiple rib fractures. His medications include acetaminophen, gabapentin, oxycodone, and clopidogrel. The last dose of clopidogrel was 8 days prior to the planned procedure."
104,EA,0,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and 5000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure.
105,EB,1,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and 5000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure.
106,EC,0,"A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
107,ED,0,"A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
108,EE,1,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the normal range.
109,EF,0,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the therapeutic range.
110,EG,0,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the normal range.
111,EH,0,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the therapeutic range.
112,EI,0,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 8 hours prior to the planned procedure.
113,EJ,1,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 14 hours prior to the planned procedure.
114,EK,0,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 20 hours prior to the planned procedure.
115,EL,1,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 26 hours prior to the planned procedure.
116,EM,0,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and prophylactic apixaban. The last dose of apixaban was 36 hours prior to the planned procedure.
117,EN,1,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and prophylactic apixaban. The last dose of apixaban was 84 hours prior to the planned procedure.
118,EO,0,"A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and warfarin. Warfarin was held for three days, and the INR immediately prior to the planned procedure is 1.1."
119,EP,0,"A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and warfarin. Warfarin was held for three days, and the INR immediately prior to the planned procedure is 1.5."
120,EQ,1,"A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and warfarin. Warfarin was held for six days, and the INR immediately prior to the planned procedure is 1.1."
121,ER,0,"A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and warfarin. Warfarin was held for six days, and the INR immediately prior to the planned procedure is 1.5."
122,ES,1,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and aspirin. The last dose of aspirin was 1 hour prior to the planned procedure.
123,ET,1,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and aspirin. The last dose of aspirin was 24 hours prior to the planned procedure.
124,EU,0,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and dabigatran. The last dose of dabigatran was 48 hours prior to the planned procedure.
125,EV,1,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and dabigatran. The last dose of dabigatran was 120 hours prior to the planned procedure.
126,EW,0,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and rivaroxaban. The last dose of rivaroxaban was 48 hours prior to the planned procedure.
127,EX,1,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and rivaroxaban. The last dose of rivaroxaban was 84 hours prior to the planned procedure.
128,EY,0,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and clopidogrel. The last dose of clopidogrel was 4 days prior to the planned procedure.
129,EZ,1,A 43-year-old woman with a history of uterine fibroids and factor V Leiden presents for an abdominal hysterectomy. The surgical team is requesting epidural analgesia for postoperative pain control. Her medications include acetaminophen and clopidogrel. The last dose of clopidogrel was 8 days prior to the planned procedure.
130,FA,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and 5000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
131,FB,1,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and 5000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
132,FC,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
133,FD,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
134,FE,1,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the normal range."
135,FF,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the therapeutic range."
136,FG,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the normal range."
137,FH,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the therapeutic range."
138,FI,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 8 hours prior to the planned procedure."
139,FJ,1,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 14 hours prior to the planned procedure."
140,FK,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 20 hours prior to the planned procedure."
141,FL,1,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 26 hours prior to the planned procedure."
142,FM,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and prophylactic apixaban. The last dose of apixaban was 36 hours prior to the planned procedure."
143,FN,1,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and prophylactic apixaban. The last dose of apixaban was 84 hours prior to the planned procedure."
144,FO,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and warfarin. Warfarin was held for three days, and the INR immediately prior to the planned procedure is 1.1."
145,FP,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and warfarin. Warfarin was held for three days, and the INR immediately prior to the planned procedure is 1.5."
146,FQ,1,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and warfarin. Warfarin was held for six days, and the INR immediately prior to the planned procedure is 1.1."
147,FR,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and warfarin. Warfarin was held for six days, and the INR immediately prior to the planned procedure is 1.5."
148,FS,1,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and aspirin. The last dose of aspirin was 1 hour prior to the planned procedure."
149,FT,1,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and aspirin. The last dose of aspirin was 24 hours prior to the planned procedure."
150,FU,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and dabigatran. The last dose of dabigatran was 48 hours prior to the planned procedure."
151,FV,1,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and dabigatran. The last dose of dabigatran was 120 hours prior to the planned procedure."
152,FW,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and rivaroxaban. The last dose of rivaroxaban was 48 hours prior to the planned procedure."
153,FX,1,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and rivaroxaban. The last dose of rivaroxaban was 84 hours prior to the planned procedure."
154,FY,0,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and clopidogrel. The last dose of clopidogrel was 4 days prior to the planned procedure."
155,FZ,1,"An 85-year-old man with a history of stroke, hypertension, diastolic heart failure, and obesity presents for an L3-4 lumbar laminectomy. The surgical team is requesting that a spinal anesthetic be administered for the procedure. His medications include metoprolol, clonidine, lisinopril, aspirin, and clopidogrel. The last dose of clopidogrel was 8 days prior to the planned procedure."
156,GA,0,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and 5000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure.
157,GB,1,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and 5000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure.
158,GC,0,"A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
159,GD,0,"A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
160,GE,1,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the normal range.
161,GF,0,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the therapeutic range.
162,GG,0,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the normal range.
163,GH,0,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the therapeutic range.
164,GI,0,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 8 hours prior to the planned procedure.
165,GJ,1,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 14 hours prior to the planned procedure.
166,GK,0,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 20 hours prior to the planned procedure.
167,GL,1,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 26 hours prior to the planned procedure.
168,GM,0,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and prophylactic apixaban. The last dose of apixaban was 36 hours prior to the planned procedure.
169,GN,1,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and prophylactic apixaban. The last dose of apixaban was 84 hours prior to the planned procedure.
170,GO,0,"A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and warfarin. Warfarin was held for three days, and the INR immediately prior to the planned procedure is 1.1."
171,GP,0,"A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and warfarin. Warfarin was held for three days, and the INR immediately prior to the planned procedure is 1.5."
172,GQ,1,"A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and warfarin. Warfarin was held for six days, and the INR immediately prior to the planned procedure is 1.1."
173,GR,0,"A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and warfarin. Warfarin was held for six days, and the INR immediately prior to the planned procedure is 1.5."
174,GS,1,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and aspirin. The last dose of aspirin was 1 hour prior to the planned procedure.
175,GT,1,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and aspirin. The last dose of aspirin was 24 hours prior to the planned procedure.
176,GU,0,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and dabigatran. The last dose of dabigatran was 48 hours prior to the planned procedure.
177,GV,1,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and dabigatran. The last dose of dabigatran was 120 hours prior to the planned procedure.
178,GW,0,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and rivaroxaban. The last dose of rivaroxaban was 48 hours prior to the planned procedure.
179,GX,1,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and rivaroxaban. The last dose of rivaroxaban was 84 hours prior to the planned procedure.
180,GY,0,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and clopidogrel. The last dose of clopidogrel was 4 days prior to the planned procedure.
181,GZ,1,A 67-year-old woman with a history of deep venous thrombosis presents for total knee arthroplasty. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include acetaminophen and clopidogrel. The last dose of clopidogrel was 8 days prior to the planned procedure.
182,HA,0,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and 5000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
183,HB,1,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and 5000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
184,HC,0,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
185,HD,0,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
186,HE,1,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the normal range."
187,HF,0,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the therapeutic range."
188,HG,0,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the normal range."
189,HH,0,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the therapeutic range."
190,HI,0,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 8 hours prior to the planned procedure."
191,HJ,1,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 14 hours prior to the planned procedure."
192,HK,0,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 20 hours prior to the planned procedure."
193,HL,1,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 26 hours prior to the planned procedure."
194,HM,0,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and prophylactic apixaban. The last dose of apixaban was 36 hours prior to the planned procedure."
195,HN,1,"A 63-year-old man with a history of atrial fibrillation, obstructive sleep apnea, obesity, and gastroesophageal reflux disease presents for prostate brachytherapy and radioactive seed implant. The procedural team is requesting that an epidural be placed for periprocedural analgesia. His medications include verapamil and prophylactic apixaban. The last dose of apixaban was 84 hours prior to the planned procedure."
